category,subcategory,name,current_price,raw_price,discount,likes_count
jewelry,Montres connectées,Global Version Xiaomi Mi bande 5,42.99,99.99,57,27
jewelry,Colliers,Collier long pendentif géométrique,17.61,33.55,48,518
jewelry,Montres connectées,Montre intelligente ECG EKG,66.29,166.14,60,505
jewelry,Colliers,Collier à pampilles blanc,9.99,24.99,60,140
jewelry,Boucles d'oreilles,Clips d'oreilles en verre gemme,5.99,10.99,46,107
jewelry,Boucles d'oreilles,Boucles d'oreilles pendentif pierre de lune,6.99,14,50,222
jewelry,Bracelets,Bracelet multicouche turquoise,9.99,19.99,50,63
jewelry,Colliers,Collier écharpe triangle en résine,13.99,29.99,53,51
jewelry,Montres connectées,L7 Montres intelligentes à écran bord à bord,118.77,213.41,44,94
jewelry,Colliers,Collier Pendentif Feuille de Bois,15.31,25.99,41,1055
jewelry,Montres connectées,HD Montre intelligente à écran,329.99,699.99,53,30
jewelry,Boucles d'oreilles,Boucles d'oreilles triangle en pierre du Labrador,9.44,18.94,50,153
jewelry,Bagues,Bague topaze carrée Highland,9.99,0,0,92
jewelry,Colliers,Collier de pierres précieuses arbre de vie,8.99,16.99,47,54
jewelry,Montres connectées,Bande d'origine Xiaomi Mi 5,49.99,102.99,52,19
jewelry,Colliers,Collier boule de verre transparent,7.99,23.99,67,237
jewelry,Colliers,Collier long de perles de Bouddha fait à la main,9.99,21.99,55,76
jewelry,Boucles d'oreilles,Boucles d'oreilles fleur stéréoscopique ,17.81,29.8,40,127
jewelry,Montres pour homme,Montre Homme à Cadran Triangle,34.49,91.98,63,20
jewelry,Bagues,Anneau de minerai de cristal naturel irrégulier,9.99,19.99,50,39
jewelry,Colliers,Collier pompon papillon,9.99,32.99,70,54
jewelry,Boucles d'oreilles,Ensemble de boucles d'oreilles pompon Dreamcatcher ,6.81,15.39,56,188
jewelry,Colliers,Ensemble de collier turquoise,9.99,32.99,70,89
jewelry,Colliers,Collier multicouche chaîne en métal,9.99,32.99,70,41
jewelry,Montres connectées,Montre intelligente d'activité Fitness Tracker,166.96,318.02,48,387
jewelry,Boucles d'oreilles,Boucles d'oreilles irrégulières en pierre naturelle,6.99,19.99,65,29
jewelry,Colliers,Collier poisson stéréoscopique,10.99,22.99,52,59
jewelry,Montres connectées,Moniteur d'activité Affichage des messages Montre intelligente,48.08,91.58,48,314
