category,subcategory,name,current_price,raw_price,discount,likes_count
men,Undershirt,Sous-vêtements amincissants de contrôle du ventre réglable,16.99,39.97,58,382
men,Shirts,Chemises à manches courtes à rayures,17.99,35.98,50,275
men,Henley Shirts,Chemise Henley en lin respirant pour homme,16.98,39.99,58,3686
men,Slips,Pochette Cosy Modal Underwear,8.99,17.98,50,50
men,Pyjama,Pyjama confortable en coton et lin,31.35,45.26,31,140
men,Henley Shirts,Chemise vintage en couleur pure à col montant,20.99,38.99,46,11521
men,T-Shirts,T-shirt décontracté en coton uni avec poche poitrine,9.99,25.99,62,2627
men,Shirts,Chemises à poches multicolores,16.99,33.94,50,6570
men,Pyjama,Plus Pyjama design patchwork taille,23.99,0,0,101
men,Shirts,Chemises Imprimées Branches Vintage,23.09,33.94,32,3474
men,T-Shirts,T-shirts graphiques Astronaute et Terre,9.99,29.99,67,1447
men,Shirts,Chemise à imprimé floral en porcelaine pour homme,18.99,37.71,50,8872
men,Shirts,Chemises 100% coton imprimées pour hommes,20.99,37.71,44,9211
men,Shirts,Chemises unie Striola Chest Pocket,16.49,28.28,42,5267
men,T-Shirts,T-shirt 100% coton à col en V de couleur unie,9.99,28.28,65,788
men,Shirts,Chemise à col montant en lin respirant,16.99,33.99,50,1040
men,Pyjama,Ensembles de chemises en coton et lin,31.99,60.35,47,15
men,Henley Shirts,Chemise Henley Décontractée Solide en Lin de Coton Vintage,20.99,33.94,38,3440
men,Shirts,Coton Colorful Chemise à rayures,18.89,35.99,48,3566
men,Shirts,Chemises à manches courtes imprimées à l'huile florale vintage,19.79,28.28,30,3542
men,Slips,Phimosis Circoncision Protective Brief,31.98,55.24,42,310
men,T-Shirts,Mens Sample Cartoon Cat Graphic Casual Cotton Short Sleeve T-Shirt,9.99,28.99,66,1799
men,Shirts,Chemise patchwork de couleur contrastée,17.99,33.94,47,2502
men,Shirts,Chemises imprimées de graffitis de dessin animé pour hommes,18.99,33.94,44,8248
men,Shirts,Chemise patchwork à rayures plantes et feuilles,17.99,33.94,47,2521
men,Pantalons,Pantalon bouffant ample en 100% coton,29.39,50.29,42,6481
men,Shirts,Chemise patchwork à rayures de paysage,17.99,33.94,47,1969
men,Shirts,Chemise unie respirante légère,15.74,28.28,44,2692
men,Shirts,Chemise à col rabattu imprimé peinture chinoise,38.84,59.99,35,3036
men,Pyjama,Vêtement d'intérieur léger en lin de coton uni,27.99,52.81,47,195
men,Shirts,Chemises rayées Classic pour hommes ,19.79,33.94,42,2238
men,Shirts,Chemises lâches à manches courtes style ethnique,20.99,42.99,51,4623
men,Shirts,Chemise d'impression dégradé de coton ,25.19,37.72,33,2188
men,T-Shirts,T-shirt décontracté à col rond en coton et lin 8 couleurs,14.99,28.28,47,1979
men,Boxers & Slips de bain,Tampon en éponge coupe 3D du pénis,8.95,9.8,9,584
men,T-Shirts,T-shirts en coton brodé Little Cloud,19.99,33.94,41,1669
men,Shirts,Chemise patchwork à rayures fleuries et colorées,17.99,33.94,47,1521
men,T-Shirts,99% coton Fun Cartoon Monster Print T-shirts,18.89,28.28,33,2230
men,Shirts,Chemise 100% coton à double poche,19.99,37.72,47,775
men,Shirts,Classic Chemise rayée à manches courtes,17.99,33.99,47,5393
men,Shirts,Chemises à fleurs ethniques pour hommes,21.99,37.71,42,4879
men,Shorts de bain,Short de bain décontracté à rayures avec doublure,17.91,30.16,41,1723
men,Henley Shirts,Chemise Henley Imprimée Plantes Tropicales 65% Coton,22.04,33.94,35,3670
men,Shirts,Chemises à rayures color block,18.99,33.94,44,2914
men,Pantalons,Pantalon bouffant ample en coton,29.39,55.3,47,5844
men,Shirts,Chemise à patchwork de rayures de couleur 100% coton,17.99,33.94,47,1425
men,Shirts,Chemises en velours côtelé uni couleur unie pour hommes,28.59,41.49,31,4817
men,Pantalons,Sarouel style ethnique en velours côtelé,30.99,49.99,38,1461
men,Shirts,Chemises amples à col montant rayé pour hommes,30.79,51.99,41,5087
men,T-Shirts,T-shirts imprimés graphiques Sun & Planet,13.99,28.99,52,932
men,Shirts,Chemise à manches courtes imprimée fleurs,20.99,37.72,44,2799
men,Shirts,Chemise décontractée de couleur assortie asymétrique,17.99,33.94,47,1404
men,Shirts,Chemise respirante en lin et coton Colorful,24.14,42.99,44,3091
men,Cardigans,Cardigans irréguliers de couleur unie pour hommes,21.99,37.71,42,3679
men,T-Shirts,T-shirt Eclipse 100% coton Moon,9.99,29.99,67,2117
men,Shirts,Chemises Patchwork Stripe Contrast Color,21.99,36.15,39,4779
men,Henley Shirts,Chemise à col boutonné en coton et lin,19.99,42.99,54,1526
men,Shirts,Chemise à ourlet incurvé à rayures et imprimé coco,17.99,33.94,47,1275
men,Pantalons,Sarouel en coton à boucle latérale avec bande latérale,34.64,62.24,44,2105
men,T-Shirts,T-shirt 100% coton imprimé Surf Avocat,14.99,28.28,47,149
men,Shorts de bain,Short de plage imprimé Birds Fish Bones,17.99,33.99,47,83
men,Slips,Culotte confortable en coton,13.7,24.61,44,183
men,Shorts,Homme Shorts De Plage Été Avec Multi-poches Couleur Unie Pantalons De Cargaison Décontracté En Coton,45.14,68.99,35,735
men,Suits,Deux Pièces Robe De Mariage D'affaires Blazer Costume & Pantalon,109.99,187.99,42,555
men,Shirts,Colorful Chemise imprimée à rayures,19.99,37.72,47,473
men,Shirts,Chemises de couleur unie en velours côtelé,19.99,39.99,50,44
men,T-Shirts,T-shirt imprimé banane,14.99,28.99,48,222
men,Shirts,Chemise 100% coton couleur unie avec boucle cachée,19.99,37.72,47,194
men,Pantalons,Pantalon droit en coton avec cordon de serrage,19.99,39.99,50,32
men,Henley Shirts,T-shirt décontracté à manches longues en coton respirant,27.99,44.99,38,313
men,Suits,Costumes trois pièces pour hommes,191.39,332.99,43,459
men,Henley Shirts,Chemise Henley 100% coton de couleur unie,17.99,33.94,47,80
men,Henley Shirts,Chemises Henley amples à manches retroussées en lin,27.49,37.99,28,228
men,Vestes,Leathers Suède Manteaux à capuche épaissis,98.69,173.99,43,120
men,Pyjama,Ensembles de pyjamas d'impression d'ananas,27.99,52.81,47,312
men,Shirts,Chemise imprimée unie couleur bonbon,17.99,33.94,47,282
men,Pantalons,Hommes Pantalons Légers Lâches De Yoga Confortables Pour Sports Matin,24.14,37.72,36,9421
men,Shirts,Chemise imprimée graffiti dessin animé 3D,24.14,39.99,40,237
men,Shirts,Chemise décontractée à rayures rouges et bleues,19.99,37.72,47,684
men,Vestes,Slip Hommes Couleur Unie Double Poches Vestes Chaudes,29.69,42.73,31,391
men,Shirts,Chemises respirantes en patchwork de couleurs contrastées,25.29,37.71,33,817
men,Hoodies,Sweat à capuche zippé sport pour homme,35.19,51.99,32,120
