category,subcategory,name,current_price,raw_price,discount,likes_count
women,T-shirts,T-shirt boutonné à manches courtes et imprimé floral,23.99,46.99,49,313
women,Soutiens-gorge,Plus Soutiens-gorge avec fermeture à l'avant,15.99,40.36,60,4603
women,Pantalons & Shorts,Pantalon décontracté à taille élastique de couleur unie,25.99,50.99,49,5564
women,Robes imprimées,Robe midi décontractée à imprimé floral,23.99,46.99,49,1262
women,T-shirts,T-shirt brodé de fleurs,15.99,38.88,59,4485
women,Robes imprimées,Robe longue à imprimé floral vintage,33.99,70.99,52,2419
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,32.99,64.98,49,33
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,29.99,63.98,53,4132
women,Pantalons & Shorts,Pantalon décontracté à fleurs,21.99,47.99,54,3095
women,Pantalons & Shorts,Pantalon décontracté à cordon de couleur unie,23.51,45.99,49,4367
women,Soutiens-gorge,Soutien-gorge Sexy à Décollecté Plongeant sans Armature,13.99,26.89,48,14252
women,Vestes & Gilets,Vestes à imprimé floral de style ethnique,25.99,72.47,64,4393
women,T-shirts,T-shirt simple à fleurs,19.42,39.99,51,3240
women,Robes imprimées,Robe longue à patchwork imprimé,28.99,73.31,61,5822
women,Blouses & Chemises,Chemisier ample à col rabattu de couleur unie,22.99,39.58,42,1306
women,Pantalons & Shorts,Sarouel croisé décontracté,16.99,48.37,65,3486
women,T-shirts,T-shirt imprimé poisson,17.99,39.99,55,3542
women,Blouses & Chemises,Chemisier ample de couleur unie,31.99,62.98,49,918
women,Robes imprimées,Robe midi bohème imprimée à pois,24.99,46.99,47,1730
women,Pantalons & Shorts,Pantalon imprimé papillons en bambou,27.6,52.98,48,2826
women,Robes imprimées,Robe mi-longue imprimée à fleurs,21.99,42.99,49,541
women,Robes imprimées,Robe maxi sans manches imprimé patchwork,24.99,60.84,59,1690
women,Robes décontractées,Robe longue de couleur contrastée,26.57,48.99,46,3363
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral Daisy,29.99,59.99,50,2879
women,Blouses & Chemises,Chemisier à manches courtes brodé bohème,24.99,50.99,51,5012
women,Robes imprimées,Robe imprimée à poches col rond,30.66,58.98,48,464
women,Robes imprimées,Robe longue bouffante à imprimé floral,19.99,59.07,66,1584
women,Blouses & Chemises,Chemisier à manches longues imprimé chat ,22.99,51.99,56,4726
women,Blouses & Chemises,Chemisier col rabattu de couleur unie,25.99,50.99,49,556
women,T-shirts,T-shirt décontracté à fleurs,21.99,43.88,50,1346
women,T-shirts,T-shirt boutonné uni,19.99,47.99,58,2442
women,Combinaisons & Grenouillères,Combinaison imprimé papillons,30.66,52.98,42,2170
women,Blouses & Chemises,Chemisier Selvedge Stringy,25.99,50.98,49,689
women,Chemises,Blouse patchwork à imprimé vintage,19.99,64.97,69,8286
women,Robes imprimées,Robe midi chemise boutonnée vintage,27.27,55.38,51,2951
women,Pantalons & Shorts,Pantalon décontracté à imprimé graffiti,18.99,42.2,55,1688
women,T-shirts,T-shirt boutonné à fleurs,20.44,38.88,47,2094
women,Robes imprimées,Robe décontractée imprimée,15.99,41.28,61,972
women,Combinaison & Salopette,Combinaison ample bohème à bretelles,25.99,60.97,57,3906
women,Pantalons & Shorts,Pantalon décontracté uni femme,21.99,47.99,54,1147
women,Robes imprimées,Robe de couleur contrastée florale,28.99,56.98,49,798
women,Chemises,T-shirt imprimé chat de dessin animé,21.99,62.2,65,3845
